Character,Line,Season,Episode
HOUSE,thought uncle died cancer,01,01
WILSON,side environmental factor,01,01
HOUSE,know,01,01
WILSON,responding radiation treatment,01,01
HOUSE,none even close dispositive raise one question cousin go hmo,01,01
WILSON,come leave fun coroner whats point putting together team going use got three overqualified doctor working getting bored,01,01
FOREMAN,lesion,01,01
HOUSE,big green thing middle bigger blue thing map island hoping something bit creative,01,01
FOREMAN,shouldnt speaking patient start diagnosing,01,01
HOUSE,doctor,01,01
FOREMAN,,01,01
HOUSE,everybody lie,01,01
CAMERON,dr house like dealing patient,01,01
FOREMAN,treating patient became doctor,01,01
HOUSE,treating illness became doctor treating patient make doctor miserable,01,01
FOREMAN,trying eliminate humanity practice medicine,01,01
HOUSE,talk cant lie u cant lie humanity overrated think tumor,01,01
FOREMAN,first year medical school hear hoof beat think horse zebra,01,01
HOUSE,first year medical school first nothing cat scan second horse kindly family doctor trenton make obvious diagnosis never get near office differential diagnosis people,01,01
CHASE,aneurysm stroke ischemic syndrome,01,01
HOUSE,get contrast mri,01,01
CAMERON,creutzfeldjakob disease,01,01
CHASE,mad cow,01,01
HOUSE,mad zebra,01,01
FOREMAN,wernickies encephalopathy,01,01
HOUSE,blood thiamine level normal,01,01
FOREMAN,lab trenton could screwed blood test assume corollary people lie people screw,01,01
HOUSE,redraw blood test get scheduled contrast mri asap let find kind zebra dealing,01,01
CUDDY,expecting office minute ago,01,01
HOUSE,really thats odd intention office minute ago,01,01
CUDDY,think nothing talk,01,01
HOUSE,cant think anything id interested,01,01
CUDDY,sign paycheck,01,01
HOUSE,tenure going grab cane stop leaving,01,01
CUDDY,would juvenile,01,01
CUDDY,still fire job,01,01
HOUSE,,01,01
CUDDY,billing practically nonexistent,01,01
HOUSE,rough year,01,01
CUDDY,ignore request consults,01,01
HOUSE,call back sometimes misdial,01,01
CUDDY,year behind obligation clinic,01,01
HOUSE,see right interest,01,01
CUDDY,year time week owe better month,01,01
HOUSE,,01,01
CUDDY,,01,01
HOUSE,nice,01,01
CUDDY,look dr house reason fire reputation still worth something hospital,01,01
HOUSE,excellent point agreement going fire,01,01
CUDDY,reputation last job clinic part job want job,01,01
HOUSE,like philosopher jagger said cant always get want,01,01
REBECCA,doctor dr house,01,01
CHASE,thankfully dr chase,01,01
CAMERON,dr house head diagnostic medicine busy taken keen interest case,01,01
FOREMAN,inject gadolinium vein distributes throughout brain act contrast material magnetic resonance imagery,01,01
CAMERON,basically whatevers head light like christmas tree,01,01
FOREMAN,might make feel little lightheaded,01,01
NURSE,dr cameron sorry stop problem,01,01
HOUSE,pulled authorization,01,01
CUDDY,yes yelling,01,01
HOUSE,mri imaging study lab,01,01
CUDDY,also cant make long distance phone call,01,01
HOUSE,gonna fire least gut face,01,01
CUDDY,photocopy still yelling,01,01
HOUSE,angry risking patient life,01,01
CUDDY,assume two separate point,01,01
HOUSE,showed disrespect embarrassed long still work haveinterrupted,01,01
CUDDY,yelling designed scare sure supposed scared yelling thats scary gonna hurt thats scary pretty sure outrun ya,01,01
CUDDY,oh looked philosopher quoted jagger right cant always get want turn try sometimes get need,01,01
HOUSE,want treat patient letting treat patient,01,01
CUDDY,need job,01,01
HOUSE,mri folded duckling leave house turn wilson ive gotta four hour week clinic make time ive missed ill caught walk clinic better love cousin whole lot,01,01
CAMERON,right rebecca intercom know may feel little claustrophobic need remain still,01,01
CHASE,intercom ok gonna begin,01,01
REBECCA,feel good,01,01
CHASE,right try relax,01,01
CAMERON,rebecca intercom rebecca back booth rebecca get,01,01
CHASE,ah probably fell asleep exhausted,01,01
CAMERON,claustrophobic second ago sleeping gotta get,01,01
CHASE,itll another minute,01,01
CAMERON,allergic reaction gadolinium shell dead two minute,01,01
FOREMAN,hold neck,01,01
CAMERON,oh ashen,01,01
FOREMAN,breathing epi point five,01,01
CAMERON,come cant ventilate,01,01
FOREMAN,much edema wheres surgical airway kit,01,01
CHASE,yep coming,01,01
CHASE,good call,01,01
CHASE,get tube throat later today,01,01
CAMERON,get rest,01,01
HOUSE,told cant trust people,01,01
CAMERON,probably knew allergic gadolinium figured easy way get someone cut hole throat,01,01
HOUSE,cant get picture gonna get thousand word,01,01
FOREMAN,actually want talk patient get history,01,01
HOUSE,need know genetic environmental cause triggering inflammatory response,01,01
FOREMAN,thought everybody lied,01,01
HOUSE,truth begin lie think,01,01
FOREMAN,mean anythingdoes,01,01
HOUSE,,01,01
CUDDY,tv weve got patient,01,01
HOUSE,cant give aspirin ill paperwork,01,01
CUDDY,made sure first case interesting one,01,01
HOUSE,cough go away runny nose look funny color,01,01
CUDDY,patient admitted complaining back spasm,01,01
HOUSE,think read something like new england journal medicine,01,01
CUDDY,patient orange,01,01
HOUSE,color,01,01
CUDDY,fruit,01,01
HOUSE,mean yellow jaundice,01,01
CUDDY,mean orange,01,01
HOUSE,orange,01,01
CUDDY,exam room,01,01
ORANGE GUY,playing golf cleat got stuck mean hurt little kept playing next morning could barely stand smiling take mean serious,01,01
ORANGE GUY,whats,01,01
HOUSE,painkiller,01,01
ORANGE GUY,oh leg,01,01
HOUSE,cause theyre yummy want one itll make back feel better,01,01
HOUSE,unfortunately deeper problem wife affair,01,01
ORANGE GUY,,01,01
HOUSE,orange moron one thing notice wife picked fact husband changed color paying attention way consume ridiculous amount carrot megadose vitamin,01,01
HOUSE,carrot turn yellow niacin turn red get fingerpaint math get good lawyer,01,01
HOUSE,deep breath,01,01
LITTLE BOY,cold,01,01
HOUSE,using inhaler,01,01
MOTHER,past day um ten worry child taking strong medicine frequently,01,01
LITTLE BOY,happened leg,01,01
HOUSE,doctor probably concerned strength medicine probably weighed danger danger breathing oxygen important prepubescent year think ok gonna assume body ever told asthma thing mind stimulant trigger cell child airway release substance inflame air passage cause contract mucus production increase celllining start steroid steroidsstop inflammation often happenstrails start leave room,01,01
MOTHER,often happenswhat,01,01
HOUSE,forget trust steroid shouldnt trust doctor,01,01
REBECCA,mother passed away three year ago heart attack father broke back construction,01,01
CAMERON,house urgent sorry,01,01
CAMERON,knocked,01,01
HOUSE,steroid give steroid high dos prednisone,01,01
FOREMAN,looking support diagnosis cerebral vasculitus,01,01
CAMERON,inflammation blood vessel brain awfully rare especially someone age,01,01
HOUSE,tumor sed rate elevated,01,01
FOREMAN,mildly,01,01
CAMERON,could mean anything nothing,01,01
HOUSE,yeah know reason think vasculitus except could,01,01
CAMERON,cant diagnose without biopsy,01,01
HOUSE,yes treat get better know right,01,01
CAMERON,wrong,01,01
HOUSE,learn something else,01,01
REBECCA,steroid,01,01
CHASE,part treatment many visitor boyfriend,01,01
REBECCA,three date stood vomiting day,01,01
CHASE,abut work must friend work,01,01
REBECCA,pretty much everybody like year old nurse said stopping radiation,01,01
CHASE,trying alternative medication wheres family,01,01
REBECCA,steroid alternative radiation,01,01
CHASE,test really conclusive,01,01
CAMERON,treating vasculitus inflammation blood vessel brain,01,01
REBECCA,tumor tumor,01,01
CHASE,told truth long shot guess,01,01
CAMERON,nurse thank chase house right harm wrong weve given dying woman couple day hope,01,01
CHASE,false hope,01,01
CAMERON,type available would given,01,01
SIDNEY,smelling billy pant,01,01
FOREMAN,,01,01
SIDNEY,looked like,01,01
FOREMAN,smelling floor,01,01
SIDNEY,oh,01,01
FOREMAN,pet class,01,01
SIDNEY,used gerbil carly l dropped book,01,01
FOREMAN,careless,01,01
SIDNEY,need smell,01,01
FOREMAN,smelling mold need smell,01,01
SIDNEY,smell parrot,01,01
FOREMAN,said pet class,01,01
SIDNEY,parrot bird,01,01
FOREMAN,parrot primary source psitticosis,01,01
HOUSE,parrot,01,01
FOREMAN,psitticosis lead nerve problem neurological complication,01,01
HOUSE,many kid class,01,01
FOREMAN,,01,01
HOUSE,many home sick,01,01
FOREMAN,none,01,01
HOUSE,none think year old serious bird hygiene teacher home,01,01
FOREMAN,life trenton go room tomorrow morning ask key,01,01
HOUSE,would police call permission dropping check crime scene,01,01
FOREMAN,crime scene,01,01
HOUSE,far know running meth lab basement,01,01
FOREMAN,kindergarten teacher,01,01
HOUSE,kindergarten student would trust implicitly sigh ok ill give instance lady back made eggsalad sandwich eye look glassy notice hospital policy stay home sick making hour ya kinda need hour right sign bathroom say employee must wash using facility figure somebody wipe snot sleeve hyper concerned sanitary condition ya think trust want check patient home contaminant garbage medicationinterrupted,01,01
FOREMAN,whoa oh cant break someone house,01,01
HOUSE,got felkers home pause yeah know court record sealed stupid mistake old gym teacher big mouth write thank note,01,01
FOREMAN,thank,01,01
HOUSE,needed somebody around street smart ok know conned know con,01,01
FOREMAN,sue,01,01
HOUSE,pretty sure cant sue somebody wrongful hiring,01,01
FOREMAN,pretty sure sue fire breaking lady house,01,01
HOUSE,research people fascinating,01,01
CUDDY,giving adler steroid,01,01
HOUSE,patient thats patient give medicine,01,01
CUDDY,prescribe medicine based guess least since tuskeegee mengele,01,01
HOUSE,comparing nzi nice,01,01
CUDDY,stopping treatment,01,01
HOUSE,patient,01,01
CUDDY,hospital,01,01
HOUSE,get sick experiment legitimate theory whats wrong,01,01
CUDDY,proof,01,01
HOUSE,never proof different doctor come different diagnosis based evidence,01,01
CUDDY,evidence nobody know anything huh always assume right,01,01
HOUSE,find hard operate opposite assumption afraid making mistake,01,01
CUDDY,doctor make mistake people die,01,01
HOUSE,come,01,01
HOUSE,people used respect cripple know turn guy wheelchair really,01,01
REBECCA,much better thanks dr house thought,01,01
CUDDY,eat much fast,01,01
REBECCA,thank,01,01
CUDDY,right,01,01
HOUSE,discontinue treatment bos,01,01
CUDDY,got lucky,01,01
HOUSE,cool huh,01,01
WILSON,ok,01,01
WILSON,good,01,01
REBECCA,ever gonna meet dr house,01,01
WILSON,scoff might run movie bus,01,01
REBECCA,good man,01,01
WILSON,good doctor,01,01
REBECCA,one without care people,01,01
WILSON,caring good motivator found something else ha rebecca grab hand feel,01,01
REBECCA,umhmm,01,01
WILSON,,01,01
REBECCA,umhmm,01,01
WILSON,ok squeeze pause harder right,01,01
REBECCA,friend huh,01,01
WILSON,yeah,01,01
REBECCA,care,01,01
WILSON,think,01,01
REBECCA,know,01,01
WILSON,dr house like say everybody lie,01,01
REBECCA,people say,01,01
WILSON,pause yes care,01,01
REBECCA,cant see pause cant see,01,01
WILSON,little help,01,01
FOREMAN,chest sore needed shock get heart going ok lay bunch card picture front rebecca arrange tell story,01,01
FOREMAN,put order,01,01
CHASE,could damage caused lack oxygen seizure,01,01
FOREMAN,gave test minute later fine altered mental status intermittent like verbal skill,01,01
CAMERON,,01,01
FOREMAN,given latest symptom clearly growing deeper brain stem soon able walk shell go blind permanently respiratory center fail,01,01
HOUSE,long,01,01
FOREMAN,tumor talking month maybe two infectious week vascular probably fastest maybe week,01,01
HOUSE,gonna stop treatment,01,01
FOREMAN,still think tumor think go back radiation,01,01
CHASE,respond radiation,01,01
FOREMAN,maybe see effect started steroid,01,01
HOUSE,tumor steroid something know,01,01
FOREMAN,gonna nothing gonna watch die,01,01
HOUSE,yeah gonna watch die specifically gonna watch fast dying told u diagnosis timeframe see fast klling know,01,01
CAMERON,maybe nothing,01,01
FOREMAN,go something something better watching die,01,01
HOUSE,got nothing bout,01,01
FOREMAN,bstrd turn cameron oh cameron need couple hour,01,01
CAMERON,whats,01,01
FOREMAN,break someone house always better white chick,01,01
CAMERON,adlers house ask key,01,01
FOREMAN,know could running meth lab basement,01,01
GUY,tired lot,01,01
HOUSE,reason think may chronic fatigue syndrome,01,01
GUY,kinda definition,01,01
HOUSE,kinda definition getting older,01,01
GUY,couple headache last month mild fever sometimes cant sleep trouble concentrating,01,01
HOUSE,apparently researching stuff internet,01,01
GUY,thinking also might fibromyalgia,01,01
HOUSE,look contemplative serious excellent diagnosis sarcastic,01,01
GUY,anything,01,01
HOUSE,heavy sigh ya know think might,01,01
HOUSE,need vicodin change dollar,01,01
NURSE,jumbled cant tell,01,01
HOUSE,exam room place bottle back counter,01,01
CAMERON,house believe pretense figure life short painful say think,01,01
FOREMAN,nothing interesting garbage say think another way saying,01,01
CAMERON,wanted judged medical prowess maybe shouldnt broken someone home,01,01
FOREMAN,know tick dog definitely got flea,01,01
CAMERON,managed make without criminal record,01,01
FOREMAN,yeah obviously grow neighborhood,01,01
CAMERON,thats right stole loaf bread feed starving family right always eat breakins,01,01
FOREMAN,supposed respect food respect dvd player want,01,01
CAMERON,,01,01
FOREMAN,gonna go hungry dy,01,01
CAMERON,,01,01
FOREMAN,know century oppression decade civil right march significantly living like monk never getting le gpa think kind disgusting get one top job country delinquent eat tear carpet,01,01
CAMERON,went hopkins right,01,01
FOREMAN,yep,01,01
CAMERON,went better school got better grade,01,01
FOREMAN,howd get job stab guy bar fight,01,01
FOREMAN,nothing,01,01
HOUSE,tumor getting worse fast cant stand,01,01
WILSON,toxin medication,01,01
FOREMAN,nothing would explain symptom,01,01
WILSON,family history neurological problem,01,01
FOREMAN,could tell underwear drawer,01,01
HOUSE,said nothing would explain symptom find explain symptom,01,01
FOREMAN,dr wilson convinced treat patient false pretense adlers cousin,01,01
WILSON,thats ridiculous ask get back interrupted,01,01
FOREMAN,jewish,01,01
WILSON,rachel adlers jewish,01,01
FOREMAN,ham apartment,01,01
WILSON,chuckle dr foreman lot jew nonjewish relative u keep kosher see getting high school without learning thing jew medical school,01,01
FOREMAN,ok maybe jewish definitely cousin,01,01
WILSON,really guyshe,01,01
FOREMAN,even know name called rachel name rebecca,01,01
WILSON,yes yes name rebecca call rachel,01,01
HOUSE,idiot,01,01
WILSON,heylisten,01,01
HOUSE,said find anything,01,01
FOREMAN,everything found interrupted,01,01
HOUSE,found ham,01,01
FOREMAN,,01,01
HOUSE,ham pork pork neurocysticercosis,01,01
CHASE,tapeworm think got worm brain,01,01
HOUSE,fit could living year never occurred interrupted,01,01
CAMERON,million people eat ham every day quite leap think got tapeworm,01,01
HOUSE,ok mr neurologist happens give steroid person tapeworm,01,01
FOREMAN,get little better get worse,01,01
WILSON,like rebecca adler,01,01
HOUSE,typical case cook pork enough ingest live tapeworm larva got little hook grab onto bowel live grow reproduce,01,01
CHASE,reproduce got one lesion nowhere near bowel,01,01
HOUSE,thats typical case tapeworm produce egg day guess go,01,01
FOREMAN,,01,01
HOUSE,unlike larva egg pas right wall intestine blood stream blood stream go,01,01
CAMERON,everywhere,01,01
HOUSE,long healthy immune system even know worm build wall us secretion shut body immune response control fluid flow really kinda beautiful,01,01
FOREMAN,long healthy call vet nurse little guy back health,01,01
HOUSE,late dying dy parasite loses ability control host defense immune system wake attack worm everything start swell bad brain,01,01
WILSON,could still hundred thing eosinophil count normal,01,01
CHASE,abnormal case,01,01
WILSON,proving nothing,01,01
HOUSE,see fit perfect explains everything,01,01
WILSON,prof nothing,01,01
HOUSE,prove treating,01,01
WILSON,cant want treatment want experiment want go home die,01,01
HOUSE,nurse excuse u please,01,01
HOUSE,dr house,01,01
REBECCA,good meet,01,01
HOUSE,idiot ahem pause tapeworm brain pleasant anything dead weekend,01,01
REBECCA,actually seen worm,01,01
HOUSE,better ill show diploma,01,01
REBECCA,sure vasculitus cant walk wearing,01,01
HOUSE,talking treatment talking cure might wrong want die,01,01
REBECCA,made cripple,01,01
HOUSE,infarction,01,01
REBECCA,heart attack,01,01
HOUSE,happens blood flow obstructed heart heart attack lung pulmonary embolism brain stroke thigh muscle,01,01
REBECCA,something could,01,01
HOUSE,plenty could made right diagnosis symptom pain may people get experience muscle death,01,01
REBECCA,think dying,01,01
HOUSE,hoped dying,01,01
REBECCA,hide office refuse see patient like way people look feel cheated life gonna get even world want fight make think much better,01,01
HOUSE,scared turn,01,01
REBECCA,want die little dignity,01,01
HOUSE,thing body break sometimes sometimes even born always happens never dignity care walk see wipe always ugly always pause live dignity cant die,01,01
HOUSE,treatment,01,01
FOREMAN,maybe get court order override wish claim capacity make decision,01,01
HOUSE,doe,01,01
CAMERON,could claim illness made mentally incompetent,01,01
FOREMAN,pretty common result,01,01
HOUSE,happen,01,01
WILSON,gonna file anymore respect,01,01
CAMERON,respect going let die,01,01
HOUSE,solved case work done,01,01
HOUSE,patient always want proof making car give guarantee,01,01
CHASE,think prove worm noninvasive safe completely sure butinterrupted,01,01
HOUSE,yeah yeah yeah whats damn idea,01,01
CHASE,ever seen worm xray regular old contrast yearold technology xray light like shotgun pellet like contrast mri,01,01
FOREMAN,thing ct scan proved nothing,01,01
HOUSE,worm cyst density cerebrospinal fluid going see anything head chase right right xray xray brain xray leg worm love thigh muscle got one head guarantee one leg,01,01
CHASE,hold still rebecca,01,01
CHASE,worm larva chase pointing xray leg,01,01
REBECCA,leg brain,01,01
CHASE,looking guarantee probably year,01,01
REBECCA,could,01,01
CHASE,probably good news,01,01
REBECCA,,01,01
CHASE,get better albendazole,01,01
REBECCA,two pill,01,01
CHASE,yeah every day least month meal,01,01
REBECCA,two pill,01,01
CHASE,yeah possible side effect include abdominal pain nausea headache dizziness fever hair loss probably make keep taking pill even get every one,01,01
CAMERON,hire,01,01
HOUSE,matter,01,01
CAMERON,kinda hard work guy respect,01,01
HOUSE,,01,01
CAMERON,rhetorical,01,01
HOUSE,seems way cant think answer make difference think jerk thing matter think job,01,01
CAMERON,hired black guy juvenile record,01,01
HOUSE,racial thing see black guy saw doctorwith juvenile record hired chase cause dad made phone call hired extremely pretty,01,01
CAMERON,hired get pant,01,01
HOUSE,cant believe would shock also said hired look good like nice piece art lobby,01,01
CAMERON,top class,01,01
HOUSE,top,01,01
CAMERON,internship mayo clinic,01,01
HOUSE,yes good applicant,01,01
CAMERON,best,01,01
HOUSE,would upset really think hired genetic gift beauty genetic gift intelligence,01,01
CAMERON,worked hard get,01,01
HOUSE,people choose path gain greatest reward least amount effort thats law nature defied thats hired could married rich could model could shown people would given stuff lot stuff worked stunning little,01,01
CAMERON,supposed flattered,01,01
HOUSE,gorgeous woman go medical school unless theyre damaged beautiful abused family member,01,01
CAMERON,,01,01
HOUSE,sexually assaulted,01,01
CAMERON,,01,01
HOUSE,damaged,01,01
CAMERON,go,01,01
ORANGE GUY,followed stop thinking doctor said,01,01
CUDDY,told listen idiot,01,01
ORANGE GUY,orange,01,01
CUDDY,want know found,01,01
ORANGE GUY,care,01,01
CUDDY,doctor good good hospital course care see conversation end either wife affair affair come rightly think fire cant even cost money son bitch best doctor,01,01
CHASE,feeling better,01,01
REBECCA,cant complain,01,01
CHASE,know hospital certain rule also know tend ignore think one gonna little obvious unless get help,01,01
CAMERON,anyone asks daughter son,01,01
REBECCA,hi guy,01,01
CLASS,hi,01,01
REBECCA,come,01,01
REBECCA,good see guy missed,01,01
REBECCA,oh love guy chase cameron wanted thank dr house never visited,01,01
CAMERON,cured cure,01,01
REBECCA,talking class ok want hug kiss every single one get right,01,01
CLASS,giggle laugh,01,01
FEMALE DR. ON MINI TV,,01,01
MALE DR ON MINI TV,hold,01,01
FEMALE DR. ON MINI TV,converted,01,01
HOUSE,said cousin would lie,01,01
WILSON,got take case,01,01
HOUSE,lied friend save stranger think thats screwed,01,01
WILSON,never lied,01,01
HOUSE,never lie,01,01
WILSON,oh really,01,01
MALE DR ON MINI TV,,01,01
FEMALE DR. ON MINI TV,doctor make mistake people die,01,01
,cuddy using line earlier,01,01
NURSE,dr house patient,01,01
NURSE,say need refill,01,01
HOUSE,got change dollar,01,01
SINGING,cant always get want cant always get want,01,01
- I'M OFF AT 4,,01,02
"SO, 4",pm dr house check,01,02
PROVES TWO THINGS,neurological damage son never gonna chief fry cook,01,02
THE LIKELIHOOD OF A FALSE NEGATIVE ON AN R.P.R. TEST,,01,02
LIKELIHOOD OF A 16-YEAR-OLD HAVING S*X,roughly,01,02
- 9,,01,03
"IF I'M RIGHT AND IT'S A VIRAL INFECTION, ONE OF TWO THINGS ALWAYS HAPPEN",patient dy patient immune system fight invader,01,03
IN CASE ANYTHING COMES UP AT 3,morning,01,03
IT'S 3,,01,03
EXHIBIT A,baby girl hartig,01,04
EXHIBIT B,baby boy hausen,01,04
TIME OF DEATH-- 6,pm,01,04
TIME OF DEATH-- 6,pm thursday december,01,04
"- YEAH, BUT, SEE, I'M OFF AT 12",already five,01,05
SHE'S BEEN WAITING FOR YOU SINCE 11,,01,05
STILL OUT BY 12,,01,05
I HAVE AN OPENING THURSDAY AT 3,,01,05
AND I LEARNED TWO THINGS,nun nice breast tattoo shoulder skunk,01,05
VOICE,cat got tongue nah klled cat cut head,01,06
SOCIAL WORKER,need take look,01,06
LUKE,mom mom mom ok,01,06
SOCIAL WORKER,couple question authorize extending disability benefit,01,06
LUCY,like fat,01,06
SOCIAL WORKER,could lose little weight,01,06
LUKE,right,01,06
SOCIAL WORKER,actually sign,01,06
LUCY,klled cat lot blood,01,06
LUKE,social worker ok,01,06
SOCIAL WORKER,couple question date first diagnosis,01,06
LUKE,schizophrenia dr walter may th last year letter medical file,01,06
SOCIAL WORKER,april th last day worked received unemployment benefit week,01,06
LUKE,fixed know returned money handing paper thats canceled check real one know copy,01,06
SOCIAL WORKER,dependent,01,06
LUKE,thats little brother eighteen helpin,01,06
SOCIAL WORKER,set need signature,01,06
VOICE,glass frog desk hey talking cat first turn lucy,01,06
LUCY,shhhhh shut shut shut,01,06
LUKE,ok need little water,01,06
SOCIAL WORKER,ill go get get walk away,01,06
LUKE,taking nip bottle vodka lucy swig hold ok come back sign gonna done need ok please ok,01,06
LUCY,voice,01,06
LUKE,voice real,01,06
LUKE,mom mom mom mom,01,06
ER VOICE-OVER,thirtyeight year old caucasian woman status postrespiratory arrest field intubated oxygenating poorly,01,06
P.A.,dr gregory house please call dr cuddy extension,01,06
LUKE,house good hospital,01,06
HOUSE,depends mean good like chair back paper,01,06
LUKE,,01,06
ER DOC,stable ok mom small pulmonary embolism blood clot got stuck lung blocked oxygen,01,06
LUKE,taking notebook pain started leg,01,06
ER DOC,clot started calf called deep vein thrombosis basically bigger clot,01,06
LUKE,never hurt would noticed,01,06
ER DOC,piece broke went vein heart blocked blood flow lung blood flow oxygen,01,06
LUKE,scribbling ok,01,06
ER DOC,dad thing need talk,01,06
LUKE,uh dad running little late dead talk take care,01,06
ER DOC,right mom blood alcohol ten thirty morning,01,06
LUKE,gave two ounce vodka cool thats first since monday three day ago ive real careful doc look luke sigh hears voice,01,06
ER DOC,schizophrenic explains dvt alcohol make pas immobile long period time,01,06
LUKE,happen alcoholic,01,06
ER DOC,drink give put blood thinner probably take home tomorrow,01,06
LUKE,alcohol gotta something else,01,06
HOUSE,rattling paper course alcohol turn look hello house get walk guy professional doctor play golf everything bet gonna tell mom alcoholic without proof sure scoped varix checked esophagus ran kind blood test doctor like make assumption work,01,06
ER DOC,id happy refer case dr house seem interested,01,06
HOUSE,case sending home luke old,01,06
LUKE,doctor,01,06
HOUSE,stethoscope ask old wa forget,01,06
HOUSE,thirty eight year old woman previous symptom history present deep vein thrombosis get,01,06
FOREMAN,oral contraceptive smoking diabetes obesity whats point dvts dvt put iv heparin prevent future clot whats big mystery,01,06
HOUSE,fine sleeping need clue circle yo whiteboard year old year young get deep vein thrombosis,01,06
FOREMAN,treated year old girl soccer player got kicked leg,01,06
HOUSE,trauma none risk factor,01,06
CAMERON,took history,01,06
HOUSE,note theyre mine theyre reliable think purpose discussion immobility real active right course paranoia keep limber,01,06
FOREMAN,paranoia,01,06
HOUSE,oh yeah schizophrenic kid wrote hefting notebook might little biased take care nutso mom think connection include schizophrenia differential dvt,01,06
FOREMAN,,01,06
HOUSE,answer abnormal dopaminergic pathway brain cause blood clot schizophrenia cause dvt,01,06
HOUSE,hand really know anything schizophrenia maybe connected,01,06
WILSON,schizophrenia explains one mystery fascinated woman bump leg like picasso deciding whitewash fence,01,06
HOUSE,thanks leroy neiman man dvt year old,01,06
WILSON,right solve one way stockholm reach nurse station wilson fiddle paperwork,01,06
HOUSE,even know treat come fumigation vgn,01,06
WILSON,little louder think everyone heard walking hall,01,06
HOUSE,two thousand year ago thats galen treated schizophrenic marcus welby ancient greece,01,06
WILSON,oh clearly interested,01,06
HOUSE,interested interested voice head could caused malposition uterus,01,06
WILSON,better place,01,06
HOUSE,got weve got lobotomy rubber room electric shock galen primitive,01,06
WILSON,stopping house walk ahead going,01,06
HOUSE,going see patient allimportant human connection thought id give whirl,01,06
WILSON,talk patient lie give patient concept reality catch,01,06
HOUSE,socrates raving untreated schizophrenic socratic method best way teaching everything apart juggling chainsaw without isaac newton wed floating ceiling,01,06
WILSON,dodging chainsaw doubt,01,06
HOUSE,guitar player english band great stopping lucy room think interested schizophrenia,01,06
WILSON,yeah pretty sure,01,06
HOUSE,galen pretty sure fumigation thing sliding door open closed pink floyd,01,06
LUKE,mom dr,01,06
HOUSE,gregory house nice meet luke right spoke alone awhile,01,06
LUKE,gonna need,01,06
HOUSE,hefting note got case note doctor cafeteria downstairs holding bill get whatever want long enough left reuben sandwich dry fry hold pickle run tax luke take money house pull pager belt hand kid ill page done luke leaf house go sits lucy bedside,01,06
LUCY,shaking head pickle,01,06
HOUSE,nice kid much really drink,01,06
FOREMAN,really talking patient,01,06
CHASE,know anymore,01,06
FOREMAN,blood clot whats fascinating,01,06
CHASE,like crazy people like way think,01,06
FOREMAN,think badly thats definition crazy would like,01,06
CHASE,theyre boring like,01,06
HOUSE,med,01,06
LUCY,twitching baseball like baseball,01,06
HOUSE,nice,01,06
LUCY,sad boy went see game,01,06
HOUSE,mets med medicine take tell take,01,06
LUCY,one belief,01,06
HOUSE,,01,06
FOREMAN,thought liked rationality,01,06
WILSON,like puzzle,01,06
FOREMAN,patient puzzle,01,06
WILSON,think,01,06
FOREMAN,think theyre people,01,06
WILSON,yeah hate fascinated tell cant relate symptom walk away,01,06
HOUSE,told luke never hurt,01,06
LUCY,rough hurt,01,06
HOUSE,,01,06
LUCY,lie limpie lively lucy never lie lucas look,01,06
WILSON,learn anything human connection,01,06
HOUSE,yeah mets suck also last two month shaved leg tremor cut,01,06
CHASE,tremor new must always cut,01,06
